Column1,Column2,Column3,Column4,Column5,Column6,Column7
Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
11.7261772,0.600963,6.976917,6.620170,9.636658,46.608654,85.076927
11.7281799,0.579414,7.000860,6.589044,9.631369,46.833298,85.268791
11.7301807,0.579414,7.012831,6.589044,9.640074,46.881805,85.276833
11.7321815,0.565049,7.020014,6.572284,9.633005,46.978928,85.398117
11.7341833,0.545895,7.022408,6.553130,9.620588,47.065884,85.554985
11.7361851,0.543500,7.048745,6.536370,9.628309,47.244595,85.590874
11.7381868,0.507586,7.053534,6.505245,9.608756,47.389400,85.883980
11.7401886,0.500403,7.072688,6.510033,9.625687,47.443352,85.952980
11.7421894,0.466884,7.055928,6.512427,9.613314,47.356213,86.214317
11.7441912,0.442941,7.070293,6.483696,9.603310,47.534027,86.415207
11.7461920,0.447729,7.077477,6.505245,9.623375,47.469410,86.380226
11.7481928,0.442941,7.094236,6.510033,9.638720,47.514439,86.427277
11.7501945,0.493221,7.099025,6.548342,9.670585,47.379425,86.025635
11.7521954,0.493221,7.099025,6.548342,9.670585,47.379425,86.025635
11.7541981,0.507586,7.099025,6.574678,9.689178,47.268867,85.910263
11.7561989,0.517163,7.108602,6.620170,9.727607,47.112988,85.838959
11.7582006,0.514769,7.108602,6.644113,9.743790,47.009132,85.858162
11.7602015,0.538712,7.099025,6.691998,9.770834,46.772629,85.660408
11.7622032,0.526740,7.084659,6.749461,9.799238,46.466858,85.747917
11.7642040,0.514769,7.091842,6.756643,9.808743,46.461739,85.848404
11.7662048,0.548289,7.077477,6.804529,9.833256,46.212044,85.570168
11.7682066,0.579414,7.082265,6.828472,9.855061,46.140694,85.322929
11.7702084,0.574626,7.089447,6.838049,9.866579,46.127838,85.366096
11.7722101,0.617723,7.096631,6.842837,9.877660,46.151096,85.025253
11.7742109,0.615329,7.075082,6.847626,9.865363,46.043835,85.029419
11.7762127,0.603357,7.082265,6.842837,9.866455,46.088558,85.130577
11.7782135,0.596174,7.089447,6.821289,9.856251,46.205215,85.193123
11.7802153,0.581809,7.084659,6.835655,9.861900,46.120998,85.305275
11.7822161,0.569837,7.084659,6.830866,9.857882,46.137157,85.401451
11.7842178,0.526740,7.072688,6.823683,9.841902,46.105732,85.740746
11.7862196,0.519558,7.060717,6.818895,9.829597,46.075451,85.791519
11.7882204,0.533923,7.039168,6.773404,9.783351,46.184387,85.662399
11.7902212,0.505192,7.031985,6.756643,9.765053,46.217648,85.890816
11.7922230,0.505192,7.039168,6.732701,9.753685,46.348316,85.894997
11.7942238,0.517163,7.027196,6.727912,9.742369,46.323738,85.790932
11.7962246,0.509981,6.976917,6.723124,9.702465,46.137550,85.819374
11.7982264,0.526740,6.991282,6.708758,9.703758,46.262405,85.691338
11.8002272,0.536318,6.984099,6.715941,9.704079,46.205486,85.608803
11.8022299,0.545895,6.969734,6.708758,9.689305,46.180565,85.521530
11.8042307,0.557866,6.976917,6.737489,9.715057,46.091400,85.428421
11.8062325,0.586597,6.964945,6.730307,9.703175,46.082729,85.185829
11.8082333,0.600963,6.976917,6.737489,9.717628,46.105988,85.076927
11.8102341,0.624906,6.957763,6.742278,9.708722,46.016136,84.867798
11.8122358,0.636877,6.969734,6.751855,9.724729,46.028736,84.778954
11.8142366,0.639271,6.941003,6.754249,9.705981,45.902199,84.737862
11.8162384,0.653637,6.945791,6.759038,9.713694,45.906944,84.623985
11.8182392,0.651243,6.924243,6.763826,9.701474,45.797554,84.626991
11.8202419,0.656031,6.919454,6.766221,9.700049,45.769634,84.583992
11.8222427,0.646454,6.912271,6.768615,9.695955,45.726318,84.657089
11.8242435,0.665608,6.888329,6.756643,9.671832,45.686028,84.480736
11.8262453,0.658426,6.893117,6.754249,9.673079,45.713055,84.543701
11.8282461,0.672791,6.890723,6.730307,9.655658,45.810600,84.423470
11.8302479,0.660820,6.866780,6.747066,9.649469,45.635838,84.503105
11.8322487,0.675186,6.871569,6.735095,9.645509,45.712250,84.388252
11.8342514,0.651243,6.878752,6.751855,9.660687,45.661179,84.591667
11.8362532,0.644060,6.876357,6.759038,9.663524,45.618050,84.649117
11.8382540,0.644060,6.881146,6.761432,9.668607,45.627674,84.652824
11.8402548,0.648848,6.876357,6.756643,9.662169,45.630058,84.609566
11.8422565,0.622511,6.888329,6.756643,9.668962,45.669415,84.836098
11.8442574,0.629694,6.888329,6.763826,9.674447,45.641674,84.776840
11.8462591,0.608146,6.883540,6.749461,9.659616,45.674824,84.951149
11.8482599,0.612934,6.907483,6.727912,9.661978,45.866806,84.929153
11.8502626,0.603357,6.878752,6.718335,9.634173,45.785683,84.987236
11.8522635,0.600963,6.895512,6.708758,9.639329,45.894821,85.019096
11.8542652,0.572232,6.893117,6.699181,9.629203,45.915779,85.254478
11.8562660,0.560260,6.905088,6.694392,9.633744,45.981552,85.361336
11.8582668,0.524346,6.909877,6.694392,9.635156,45.989662,85.660507
11.8602686,0.524346,6.938608,6.665661,9.635884,46.230892,85.678406
11.8622694,0.517163,6.933820,6.651295,9.622112,46.270779,85.734459
11.8642712,0.512375,6.945791,6.665661,9.640413,46.256668,85.781067
11.8662720,0.502798,6.969734,6.677632,9.665442,46.300426,85.873825
11.8682747,0.478855,6.972128,6.699181,9.680852,46.211105,86.071022
11.8702755,0.490826,6.962551,6.711152,9.682851,46.124256,85.967598
11.8722763,0.490826,6.969734,6.711152,9.688017,46.153625,85.971733
11.8742781,0.490826,6.988888,6.723124,9.710091,46.180779,85.982742
11.8762789,0.478855,6.972128,6.725518,9.699096,46.098793,86.071022
11.8782806,0.490826,6.988888,6.718335,9.706776,46.201172,85.982742
11.8802814,0.493221,6.976917,6.701575,9.686679,46.224525,85.956306
11.8822842,0.509981,6.957763,6.682421,9.660501,46.233097,85.807907
11.8842850,0.498009,6.962551,6.660872,9.648438,46.341576,85.908783
11.8862858,0.512375,6.972128,6.636930,9.639603,46.487991,85.796944
11.8882875,0.526740,6.969734,6.589044,9.605735,46.689716,85.678062
11.8902884,0.526740,6.972128,6.574678,9.597626,46.761894,85.679543
11.8922892,0.531529,6.984099,6.538764,9.582047,46.968723,85.647858
11.8942909,0.521952,6.976917,6.500456,9.550169,47.104446,85.721603
11.8962917,0.514769,6.988888,6.498062,9.556901,47.161518,85.787468
11.8982925,0.526740,6.981705,6.476513,9.537657,47.230816,85.685448
11.9002953,0.543500,6.976917,6.471725,9.531840,47.237682,85.545670
11.9022961,0.545895,6.986494,6.464542,9.534118,47.309093,85.532234
11.9042978,0.548289,6.998465,6.476513,9.551145,47.305614,85.520363
11.9062986,0.560260,6.993677,6.498062,9.562961,47.195171,85.419846
11.9083004,0.557866,6.993677,6.505245,9.567703,47.162838,85.439331
11.9103012,0.569837,7.003254,6.512427,9.580292,47.174061,85.348236
11.9123020,0.591386,7.008042,6.514822,9.586724,47.190186,85.176422
11.9143038,0.598569,7.017620,6.526793,9.602307,47.178944,85.124748
11.9163055,0.600963,7.017620,6.531582,9.605712,47.158817,85.105347
11.9183073,0.612934,7.017620,6.579467,9.639091,46.954281,85.008331
11.9203081,0.615329,7.012831,6.577073,9.634123,46.946167,84.985527
11.9223099,0.639271,7.031985,6.603410,9.667601,46.917919,84.805573
11.9243107,0.651243,7.029591,6.615381,9.674840,46.860916,84.707054
11.9263124,0.660820,7.027196,6.617775,9.675387,46.844524,84.627846
11.9283133,0.660820,6.988888,6.639324,9.662395,46.596622,84.598572
11.9303141,0.682368,6.998465,6.622564,9.659322,46.716103,84.431114
11.9323168,0.675186,7.000860,6.644113,9.675337,46.630074,84.491249
11.9343176,0.687157,6.996071,6.646507,9.674360,46.605099,84.390381
11.9363194,0.677580,6.998465,6.648901,9.677061,46.600708,84.469955
11.9383202,0.684763,7.003254,6.653690,9.684320,46.602325,84.415497
11.9403219,0.691945,6.993677,6.663267,9.684494,46.525269,84.349617
11.9423227,0.687157,6.998465,6.663267,9.687612,46.542751,84.392288
11.9443235,0.699128,7.022408,6.663267,9.705777,46.644276,84.314552
11.9463253,0.670397,6.996071,6.648901,9.674829,46.588207,84.526360
11.9483280,0.660820,6.998465,6.660872,9.684133,46.542759,84.605927
11.9503288,0.648848,7.012831,6.682421,9.708530,46.503990,84.713867
11.9523296,0.651243,7.017620,6.701575,9.725339,46.442356,84.698074
11.9543314,0.622511,7.000860,6.723124,9.726251,46.272060,84.918663
11.9563332,0.610540,6.976917,6.725518,9.709929,46.160278,84.998871
11.9583359,0.600963,6.984099,6.718335,9.709522,46.216713,85.081963
11.9603376,0.600963,6.991282,6.723124,9.718002,46.225525,85.086998
11.9623394,0.572232,6.976917,6.727912,9.709254,46.136860,85.311218
11.9643412,0.565049,6.998465,6.732701,9.727644,46.201809,85.384010
11.9663420,0.560260,7.000860,6.720729,9.720809,46.260910,85.424522
11.9683428,0.550683,6.988888,6.730307,9.718273,46.168377,85.494736
11.9703445,0.567443,6.996071,6.713547,9.712811,46.274403,85.362961
11.9723454,0.562655,6.988888,6.708758,9.704049,46.264050,85.397217
11.9743471,0.555472,6.996071,6.708758,9.708810,46.290924,85.460373
11.9763479,0.531529,7.015225,6.689604,9.708075,46.442970,85.667099
11.9783506,0.541106,7.010437,6.703969,9.715052,46.365135,85.586334
11.9803514,0.555472,7.012831,6.691998,9.709334,46.430542,85.471176
